,precision,recall,f1-score,support
daisy,0.9704142011834319,0.9318181818181818,0.9507246376811594,176.0
dandelion,0.96,0.9664429530201343,0.9632107023411371,149.0
lily,0.9554140127388535,0.9259259259259259,0.9404388714733543,162.0
orchid,0.8805970149253731,0.9567567567567568,0.917098445595855,185.0
rose,0.9391891891891891,0.9328859060402684,0.936026936026936,149.0
sunflower,0.9382022471910112,0.9709302325581395,0.9542857142857143,172.0
tulip,0.9668874172185431,0.906832298136646,0.9358974358974359,161.0
accuracy,0.9419410745233969,0.9419410745233969,0.9419410745233969,0.9419410745233969
macro avg,0.9443862974923432,0.9416560363222933,0.9425261061859418,1154.0
weighted avg,0.9432402661277305,0.9419410745233969,0.9420666239161816,1154.0
