,precision,recall,f1-score,support
daisy,0.9943502824858758,1.0,0.9971671388101983,176.0
dandelion,0.9932885906040269,0.9932885906040269,0.9932885906040269,149.0
lily,0.9815950920245399,0.9876543209876543,0.9846153846153847,162.0
orchid,0.9891891891891892,0.9891891891891892,0.9891891891891892,185.0
rose,1.0,1.0,1.0,149.0
sunflower,1.0,0.9883720930232558,0.9941520467836257,172.0
tulip,1.0,1.0,1.0,161.0
accuracy,0.9939341421143848,0.9939341421143848,0.9939341421143848,0.9939341421143848
macro avg,0.9940604506148045,0.9940720276863038,0.9940589071432034,1154.0
weighted avg,0.9939549866772006,0.9939341421143848,0.9939369677513612,1154.0
